x		y		HR.State		HR		Stab.State		water.d		water.v		walk.speed		b.height		b.mass		gender
103.984		319.799		4		16.769		3		0.704		23.322		1.390		1.638		68.233		2
116.098		310.813		1		0.565		3		0.066		8.108		1.390		1.638		68.233		2
131.366		303.389		2		0.801		2		0.245		2.763		1.390		1.638		68.233		2
128.483		306.540		1		0.476		0		0.076		5.757		1.390		1.929		101.088		1
104.818		302.083		4		3.897		3		0.330		11.320		1.390		1.726		80.323		2
98.078		313.944		1		0.141		0		0.018		7.332		1.390		1.726		80.323		2
105.103		319.573		4		16.769		3		0.704		23.322		1.390		1.726		80.323		2
111.521		316.582		1		0.023		0		0.008		2.324		1.390		1.726		80.323		2
138.038		289.276		1		0.218		0		0.128		1.199		1.390		1.726		80.323		2
130.434		302.754		2		0.801		2		0.245		2.763		1.390		1.726		80.323		2
138.739		304.726		1		0.401		0		0.210		1.408		1.390		1.795		88.223		1
136.332		306.508		2		1.267		3		0.422		2.503		1.390		1.641		59.046		1
105.004		316.595		1		0.139		0		0.013		10.406		1.390		1.821		80.120		2
118.152		311.514		1		0.075		0		0.017		3.872		1.390		1.930		85.529		2
140.010		289.117		1		0.218		0		0.128		1.199		1.390		1.821		80.120		2
141.843		291.095		1		0.226		0		0.140		1.115		1.390		1.821		80.120		2
129.635		306.793		1		0.476		1		0.076		5.757		1.390		1.821		80.120		2
98.586		310.025		3		2.172		3		0.169		12.374		1.390		1.761		70.427		2
115.275		316.829		4		3.054		3		0.172		17.211		1.390		1.761		70.427		2
116.482		315.930		1		0.080		0		0.010		7.654		1.390		1.761		70.427		2
136.146		297.486		1		0.274		0		0.164		1.169		1.390		1.761		70.427		2
131.755		308.162		1		0.331		0		0.075		3.921		1.390		1.791		70.823		1
119.385		308.136		1		0.466		1		0.052		8.492		1.390		1.829		74.243		2
134.054		293.470		1		0.461		0		0.276		1.168		1.390		1.829		74.243		2
123.264		305.480		1		0.747		3		0.100		6.935		1.390		1.829		74.243		2
102.633		309.430		4		2.561		3		0.225		10.891		1.390		1.823		86.569		2
108.573		315.666		1		0.071		0		0.012		5.345		1.390		1.823		86.569		2
122.210		305.016		1		0.747		3		0.100		6.935		1.390		1.823		86.569		2
99.402		303.876		3		1.516		3		0.170		8.404		1.390		1.632		71.166		2
106.433		319.635		4		11.235		3		0.487		22.574		1.390		1.632		71.166		2
141.164		296.268		1		0.307		0		0.234		0.811		1.390		1.632		71.166		2
101.083		280.718		1		0.400		0		0.167		1.889		1.390		1.752		72.750		2
112.371		316.711		1		0.722		3		0.044		15.930		1.390		1.752		72.750		2
114.488		314.280		1		0.080		0		0.010		7.654		1.390		1.752		72.750		2
133.143		308.603		1		0.471		0		0.126		3.233		1.390		1.780		84.009		2
117.535		311.289		1		0.075		0		0.017		3.872		1.390		1.766		84.605		2
127.753		299.880		1		0.574		0		0.143		3.500		1.390		1.766		84.605		2
134.904		303.897		1		0.529		0		0.187		2.320		1.390		1.766		84.605		2
96.031		305.196		1		0.495		0		0.111		3.983		1.390		1.633		57.550		1
100.973		304.177		3		1.516		3		0.170		8.404		1.390		1.633		57.550		1
102.781		303.215		1		0.456		3		0.047		9.231		1.390		1.633		57.550		1
107.054		317.905		1		0.697		3		0.035		19.620		1.390		1.633		57.550		1
116.736		311.258		1		0.194		0		0.028		6.500		1.390		1.633		57.550		1
142.607		295.872		1		0.307		0		0.234		0.811		1.390		1.633		57.550		1
135.473		305.757		1		0.529		0		0.187		2.320		1.390		1.631		67.124		2
150.249		298.296		1		0.175		0		0.101		1.236		1.390		1.640		67.836		1
106.236		309.530		3		1.832		3		0.194		8.952		1.390		1.938		85.079		2
115.811		314.418		1		0.080		0		0.010		7.654		1.390		1.938		85.079		2
120.003		308.551		1		0.466		1		0.052		8.492		1.390		1.938		85.079		2
130.831		300.655		2		0.897		2		0.280		2.702		1.390		1.938		85.079		2
100.824		309.759		3		2.172		3		0.169		12.374		1.390		1.935		87.737		1
112.986		314.226		1		0.203		0		0.031		5.984		1.390		1.935		87.737		1
113.775		313.198		2		1.245		3		0.128		9.265		1.390		1.935		87.737		1
137.366		292.634		1		0.354		0		0.230		1.043		1.390		1.935		87.737		1
143.984		296.561		1		0.146		0		0.122		0.704		1.390		1.935		87.737		1
145.057		294.652		1		0.250		0		0.175		0.931		1.390		1.935		87.737		1
146.624		296.725		1		0.163		0		0.120		0.858		1.390		1.935		87.737		1
136.710		292.220		1		0.354		0		0.230		1.043		1.390		1.811		79.122		1
135.357		300.962		1		0.397		0		0.189		1.599		1.390		1.811		79.122		1
98.206		296.149		1		0.640		1		0.110		5.325		1.390		2.099		107.526		2
100.500		299.807		3		2.361		3		0.315		6.994		1.390		2.099		107.526		2
105.440		308.975		3		1.832		3		0.194		8.952		1.390		2.099		107.526		2
109.037		319.325		1		0.075		0		0.012		5.690		1.390		2.099		107.526		2
152.188		287.913		1		0.166		0		0.104		1.098		1.390		1.755		81.539		1
94.750		300.999		1		0.555		1		0.094		5.412		1.390		1.794		87.439		1
103.095		294.299		2		0.756		3		0.095		7.455		1.390		1.794		87.439		1
109.137		305.904		1		0.101		0		0.017		5.296		1.390		1.733		70.154		1
128.875		300.374		1		0.574		0		0.143		3.500		1.390		1.794		87.439		1
133.251		299.187		1		0.401		0		0.226		1.277		1.390		1.794		87.439		1
139.537		300.529		1		0.250		0		0.133		1.380		1.390		1.794		87.439		1
95.044		289.656		2		1.024		3		0.219		4.167		1.390		1.735		77.861		2
95.453		296.710		2		0.880		3		0.157		5.118		1.390		1.735		77.861		2
105.912		302.202		4		3.897		3		0.330		11.320		1.390		1.735		77.861		2
107.245		315.366		1		0.071		0		0.012		5.345		1.390		1.735		77.861		2
114.258		310.524		1		0.565		3		0.066		8.108		1.390		1.735		77.861		2
116.812		307.267		1		0.580		3		0.063		8.730		1.390		1.735		77.861		2
120.703		308.783		1		0.520		1		0.072		6.725		1.390		1.735		77.861		2
129.654		302.237		1		0.228		0		0.067		2.914		1.390		1.735		77.861		2
107.718		308.946		4		2.983		3		0.247		11.560		1.390		1.803		81.794		2
109.748		319.353		1		0.075		0		0.012		5.690		1.390		1.803		81.794		2
110.653		319.438		1		0.075		0		0.012		5.690		1.390		1.803		81.794		2
141.046		294.105		1		0.276		0		0.159		1.231		1.390		1.803		81.794		2
98.434		300.718		1		0.557		1		0.092		5.530		1.390		1.798		74.236		2
104.217		306.249		1		0.086		0		0.014		5.564		1.390		1.798		74.236		2
108.150		318.841		1		0.697		3		0.035		19.620		1.390		1.798		74.236		2
108.935		314.254		1		0.042		0		0.013		2.820		1.390		1.798		74.236		2
118.616		304.438		4		9.579		3		0.950		9.582		1.390		1.798		74.236		2
126.013		305.695		1		0.337		0		0.058		5.309		1.390		1.798		74.236		2
107.256		305.974		1		0.399		1		0.044		8.502		1.390		1.930		91.214		2
117.741		307.680		1		0.580		3		0.063		8.730		1.390		1.930		91.214		2
121.268		304.567		2		1.163		3		0.120		9.205		1.390		1.930		91.214		2
134.548		299.812		1		0.401		0		0.226		1.277		1.390		1.930		91.214		2
147.959		297.601		1		0.175		0		0.101		1.236		1.390		1.825		88.951		2
97.092		293.055		1		0.248		0		0.053		4.156		1.390		1.728		80.649		1
117.573		301.147		1		0.052		0		0.011		4.169		1.390		1.728		80.649		1
127.126		296.533		2		1.124		3		0.306		3.171		1.390		1.728		80.649		1
135.280		296.760		1		0.274		0		0.164		1.169		1.390		1.728		80.649		1
145.815		292.324		1		0.273		0		0.163		1.173		1.390		1.728		80.649		1
104.158		298.981		4		2.880		3		0.246		11.226		1.390		1.743		72.620		2
111.970		305.401		2		0.971		3		0.131		6.888		1.390		1.743		72.620		2
112.017		311.082		2		1.038		3		0.107		9.164		1.390		1.743		72.620		2
114.925		307.117		1		0.538		1		0.074		6.820		1.390		1.743		72.620		2
137.164		298.048		1		0.274		0		0.164		1.169		1.390		1.743		72.620		2
145.436		300.655		1		0.255		0		0.150		1.199		1.390		1.805		82.952		2
103.021		289.360		1		0.397		0		0.090		3.929		1.390		1.932		97.888		2
105.739		299.158		4		2.880		3		0.246		11.226		1.390		1.932		97.888		2
111.313		299.626		3		2.011		3		0.223		8.508		1.390		1.932		97.888		2
142.002		294.761		1		0.276		0		0.159		1.231		1.390		1.932		97.888		2
101.973		294.872		2		0.756		3		0.095		7.455		1.390		1.833		85.091		1
109.069		291.636		2		1.447		3		0.225		5.940		1.390		1.833		85.091		1
109.685		308.822		4		2.903		3		0.246		11.290		1.390		1.833		85.091		1
111.205		309.834		4		2.903		3		0.246		11.290		1.390		1.833		85.091		1
110.271		315.453		1		0.042		0		0.013		2.820		1.390		1.833		85.091		1
120.093		297.602		2		0.969		3		0.160		5.542		1.390		1.833		85.091		1
138.955		299.407		1		0.250		0		0.133		1.380		1.390		1.833		85.091		1
143.379		291.710		1		0.193		0		0.113		1.203		1.390		1.833		85.091		1
111.525		313.193		2		1.245		3		0.128		9.265		1.390		1.828		87.591		1
140.315		292.460		1		0.226		0		0.140		1.115		1.390		1.828		87.591		1
150.250		294.278		1		0.237		0		0.130		1.323		1.390		1.828		87.591		1
103.743		309.784		3		1.832		3		0.194		8.952		1.390		1.789		87.600		2
108.564		309.095		4		2.983		3		0.247		11.560		1.390		1.934		100.947		2
124.153		302.510		2		1.247		3		0.176		6.567		1.390		1.789		87.600		2
147.330		290.086		1		0.248		0		0.147		1.182		1.390		1.789		87.600		2
100.317		295.668		1		0.281		0		0.046		5.617		1.390		1.929		101.225		1
142.459		281.104		1		0.312		0		0.171		1.325		1.390		1.929		101.225		1
140.282		290.230		1		0.218		0		0.137		1.093		1.390		1.929		101.225		1
104.481		312.520		1		0.480		1		0.051		8.837		1.390		1.773		76.149		1
137.813		299.032		1		0.250		0		0.133		1.380		1.390		1.773		76.149		1
137.987		294.394		1		0.333		0		0.223		0.996		1.390		1.773		76.149		1
146.452		286.030		1		0.091		0		0.070		0.795		1.390		1.773		76.149		1
105.771		306.085		1		0.296		0		0.042		6.480		1.390		1.637		58.846		2
110.545		309.236		4		2.903		3		0.246		11.290		1.390		1.637		58.846		2
114.039		306.704		1		0.472		1		0.063		6.936		1.390		1.637		58.846		2
118.764		307.668		1		0.580		3		0.063		8.730		1.390		1.637		58.846		2
144.004		299.576		1		0.441		0		0.327		0.846		1.390		1.937		100.308		1
150.752		299.413		1		0.171		0		0.105		1.127		1.390		1.781		83.773		2
99.536		292.165		3		1.604		3		0.241		6.157		1.390		1.784		70.735		1
111.208		296.572		1		0.466		1		0.057		7.623		1.390		1.784		70.735		1
132.610		296.054		1		0.365		0		0.201		1.319		1.390		1.784		70.735		1
133.728		296.370		1		0.365		0		0.201		1.319		1.390		1.784		70.735		1
139.818		295.583		1		0.333		0		0.223		0.996		1.390		1.784		70.735		1
154.294		285.437		1		0.134		0		0.082		1.140		1.390		1.784		70.735		1
114.242		301.951		2		0.844		3		0.089		8.956		1.390		1.779		83.293		1
127.778		291.970		2		1.240		2		0.805		1.041		1.390		1.779		83.293		1
146.650		293.143		1		0.413		0		0.283		0.960		1.390		1.779		83.293		1
148.458		293.765		1		0.237		0		0.130		1.323		1.390		1.779		83.293		1
107.604		298.408		4		3.966		3		0.362		10.449		1.390		1.821		91.361		2
129.731		292.898		1		0.749		0		0.349		1.648		1.390		1.821		91.361		2
142.952		287.859		1		0.565		0		0.387		0.962		1.390		1.821		91.361		2
105.558		292.340		1		0.294		0		0.039		6.985		1.390		1.634		62.397		1
135.134		291.117		1		0.354		0		0.230		1.043		1.390		1.634		62.397		1
140.729		281.117		1		0.312		0		0.171		1.325		1.390		1.634		62.397		1
152.365		283.703		1		0.114		0		0.071		1.104		1.390		1.634		62.397		1
151.599		286.753		1		0.166		0		0.104		1.098		1.390		1.634		62.397		1
95.579		282.225		2		0.996		2		0.313		2.681		1.390		1.641		73.615		1
105.892		296.171		3		1.560		3		0.155		9.548		1.390		1.641		73.615		1
109.042		297.779		1		0.466		1		0.057		7.623		1.390		1.641		73.615		1
119.162		301.611		1		0.052		0		0.011		4.169		1.390		1.641		73.615		1
115.066		302.345		2		0.844		3		0.089		8.956		1.390		1.641		73.615		1
120.453		303.213		4		3.110		3		0.322		9.160		1.390		1.641		73.615		1
134.401		290.588		1		0.400		0		0.185		1.657		1.390		1.641		73.615		1
138.869		295.109		1		0.333		0		0.223		0.996		1.390		1.641		73.615		1
107.052		296.312		1		0.229		0		0.032		6.632		1.390		1.827		78.622		2
106.972		302.084		2		1.370		3		0.125		10.505		1.390		1.827		78.622		2
112.964		309.822		2		1.038		3		0.107		9.164		1.390		1.827		78.622		2
128.444		297.425		2		1.124		3		0.306		3.171		1.390		1.755		72.820		2
156.999		280.783		1		0.085		0		0.077		0.617		1.390		1.827		78.622		2
99.980		287.231		3		1.898		3		0.719		2.139		1.390		1.816		74.728		1
109.163		295.178		3		2.099		3		0.314		6.183		1.390		1.816		74.728		1
125.894		298.761		2		0.886		3		0.161		4.986		1.390		1.816		74.728		1
137.644		293.517		1		0.333		0		0.223		0.996		1.390		1.816		74.728		1
156.982		276.536		1		0.032		0		0.030		0.598		1.390		1.816		74.728		1
161.599		255.264		0		0.000		0		0.000		0.000		1.390		1.784		73.977		2
157.574		282.056		1		0.085		0		0.077		0.617		1.390		1.806		73.119		2
149.039		287.275		1		0.116		0		0.083		0.888		1.390		1.808		75.902		2
98.161		288.349		1		0.691		2		0.162		3.775		1.390		1.812		77.344		1
110.689		306.746		1		0.018		0		0.008		1.871		1.390		1.812		77.344		1
123.092		300.891		4		3.530		3		0.591		5.476		1.390		1.812		77.344		1
132.851		288.167		1		0.683		0		0.372		1.334		1.390		1.735		74.549		1
152.644		289.310		1		0.104		0		0.062		1.165		1.390		1.641		73.032		1
101.721		299.287		3		2.230		3		0.246		8.551		1.390		1.774		77.469		2
108.759		301.223		2		1.370		3		0.125		10.505		1.390		1.774		77.469		2
110.361		302.315		1		0.596		3		0.067		8.437		1.390		1.774		77.469		2
113.422		301.523		1		0.233		0		0.035		6.182		1.390		1.774		77.469		2
115.137		295.455		4		2.897		3		0.669		3.832		1.390		1.774		77.469		2
118.233		301.741		1		0.052		0		0.011		4.169		1.390		1.774		77.469		2
156.488		283.041		1		0.186		0		0.144		0.797		1.390		1.774		77.469		2
96.822		320.390		4		5.076		3		0.396		12.324		1.390		1.635		69.761		2
114.889		291.803		1		0.266		0		0.093		2.352		1.390		1.823		82.104		1
125.616		300.169		2		0.886		3		0.161		4.986		1.390		1.823		82.104		1
124.396		297.186		1		0.437		0		0.092		4.235		1.390		1.823		82.104		1
144.955		288.544		1		0.154		0		0.102		1.012		1.390		1.823		82.104		1
156.551		271.562		1		0.041		0		0.036		0.633		1.390		1.735		81.059		1
95.921		308.878		1		0.471		1		0.069		6.273		1.390		1.928		90.330		2
106.628		287.737		2		1.151		3		0.297		3.379		1.390		1.759		66.249		1
104.318		289.082		4		3.508		3		0.462		7.100		1.390		1.759		66.249		1
103.102		298.529		3		2.230		3		0.246		8.551		1.390		1.759		66.249		1
129.077		289.163		1		0.213		0		0.176		0.713		1.390		1.759		66.249		1
107.652		290.867		4		5.030		3		0.602		7.859		1.390		1.401		42.621		1
148.192		277.231		1		0.149		0		0.105		0.921		1.390		1.401		42.621		1
137.933		281.249		1		0.132		0		0.082		1.106		1.390		1.401		42.621		1
95.223		317.021		1		0.066		0		0.015		3.929		1.390		1.932		99.762		1
102.366		272.115		2		0.904		2		0.318		2.343		1.390		1.770		81.068		1
109.745		284.997		2		1.491		3		0.360		3.645		1.390		1.770		81.068		1
113.089		306.573		1		0.472		1		0.063		6.936		1.390		1.770		81.068		1
120.295		301.601		4		3.110		3		0.322		9.160		1.390		1.770		81.068		1
133.799		284.496		1		0.580		0		0.321		1.310		1.390		1.770		81.068		1
128.005		287.771		1		0.566		0		0.280		1.525		1.390		1.770		81.068		1
147.480		286.767		1		0.091		0		0.070		0.795		1.390		1.770		81.068		1
111.804		302.188		1		0.233		0		0.035		6.182		1.390		1.766		73.742		1
122.899		297.237		1		0.437		0		0.092		4.235		1.390		1.766		73.742		1
150.727		284.613		1		0.114		0		0.071		1.104		1.390		1.766		73.742		1
96.507		285.732		1		0.539		0		0.173		2.623		1.390		1.808		81.925		1
108.956		302.508		1		0.596		3		0.067		8.437		1.390		1.808		81.925		1
121.671		294.496		2		1.030		3		0.205		4.517		1.390		1.808		81.925		1
133.344		289.471		1		0.683		0		0.372		1.334		1.390		1.808		81.925		1
136.223		291.596		1		0.354		0		0.230		1.043		1.390		1.808		81.925		1
146.053		285.078		1		0.261		0		0.169		1.040		1.390		1.808		81.925		1
106.094		273.945		1		0.179		0		0.070		2.047		1.390		2.098		100.618		2
104.654		282.832		2		1.427		3		0.339		3.712		1.390		2.098		100.618		2
113.445		296.075		3		1.785		3		0.219		7.667		1.390		2.098		100.618		2
135.149		285.200		1		0.720		0		0.407		1.271		1.390		2.098		100.618		2
131.344		295.330		1		0.533		0		0.258		1.568		1.390		1.747		68.542		1
135.664		288.790		1		0.389		0		0.226		1.226		1.390		2.098		100.618		2
149.753		283.316		1		0.252		0		0.163		1.047		1.390		2.098		100.618		2
155.170		280.496		1		0.089		0		0.074		0.700		1.390		2.098		100.618		2
99.369		274.995		1		0.082		0		0.040		1.570		1.390		1.636		65.051		1
108.224		277.034		1		0.390		0		0.114		2.920		1.390		1.636		65.051		1
125.314		287.042		2		1.203		2		0.496		1.923		1.390		1.636		65.051		1
139.104		286.200		1		0.238		0		0.149		1.099		1.390		1.636		65.051		1
143.625		284.654		1		0.190		0		0.177		0.574		1.390		1.751		65.798		2
98.801		281.698		1		0.400		0		0.167		1.889		1.390		1.816		89.534		1
101.007		284.709		1		0.345		0		0.189		1.330		1.390		1.816		89.534		1
118.499		293.156		3		1.544		3		0.587		2.130		1.390		1.816		89.534		1
152.795		276.378		1		0.121		0		0.087		0.899		1.390		1.816		89.534		1
103.050		285.633		1		0.563		0		0.150		3.254		1.390		1.806		85.756		2
125.511		293.666		3		1.881		3		0.480		3.421		1.390		1.806		85.756		2
130.343		291.122		1		0.749		0		0.349		1.648		1.390		1.806		85.756		2
148.775		282.464		1		0.114		0		0.084		0.863		1.390		1.806		85.756		2
105.729		284.881		2		1.427		3		0.339		3.712		1.390		1.802		88.487		2
113.132		290.922		2		1.239		3		0.266		4.151		1.390		1.802		88.487		2
118.200		297.719		1		0.473		0		0.079		5.496		1.390		1.802		88.487		2
132.105		293.178		1		0.533		0		0.258		1.568		1.390		1.802		88.487		2
152.128		278.611		1		0.060		0		0.049		0.726		1.390		1.802		88.487		2
153.833		290.794		1		0.225		0		0.158		0.920		1.390		1.766		81.110		1
116.326		300.979		2		0.844		3		0.089		8.956		1.390		1.765		68.729		1
159.288		285.207		1		0.047		0		0.041		0.625		1.390		1.826		77.234		1
98.222		269.218		1		0.491		0		0.193		2.049		1.390		1.814		73.480		2
107.651		284.286		1		0.498		0		0.102		4.400		1.390		1.814		73.480		2
113.724		284.443		3		1.526		3		0.351		3.849		1.390		1.814		73.480		2
143.835		281.865		1		0.192		0		0.116		1.158		1.390		1.633		69.925		1
145.123		282.070		1		0.192		0		0.116		1.158		1.390		1.814		73.480		2
154.673		278.987		1		0.039		0		0.036		0.595		1.390		1.814		73.480		2
159.533		277.909		1		0.032		0		0.031		0.536		1.390		1.814		73.480		2
104.866		279.018		3		1.566		3		0.392		3.496		1.390		1.750		77.741		2
121.136		290.309		3		2.440		3		0.535		4.064		1.390		1.750		77.741		2
120.008		294.504		2		1.030		3		0.205		4.517		1.390		1.750		77.741		2
136.551		285.987		1		0.155		0		0.114		0.858		1.390		1.750		77.741		2
134.468		280.192		1		0.604		0		0.365		1.155		1.390		1.750		77.741		2
112.757		295.613		3		2.435		3		0.470		4.685		1.390		1.937		92.849		2
118.356		289.158		3		1.524		3		0.453		2.865		1.390		1.937		92.849		2
119.907		280.430		1		0.083		0		0.045		1.361		1.390		1.937		92.849		2
152.056		274.257		1		0.104		0		0.079		0.824		1.390		1.937		92.849		2
161.903		275.393		1		0.018		0		0.022		0.304		1.390		1.752		77.568		1
111.281		284.229		2		1.491		3		0.360		3.645		1.390		1.763		72.791		2
131.455		292.264		1		0.749		0		0.349		1.648		1.390		1.763		72.791		2
139.601		286.968		1		0.238		0		0.149		1.099		1.390		1.763		72.791		2
158.303		283.654		1		0.047		0		0.041		0.625		1.390		1.935		83.922		2
108.460		281.098		2		1.099		3		0.237		4.144		1.390		1.759		85.581		2
116.730		297.905		1		0.473		0		0.079		5.496		1.390		1.759		85.581		2
153.897		277.801		1		0.039		0		0.036		0.595		1.390		1.759		85.581		2
102.227		268.162		1		0.602		0		0.198		2.546		1.390		1.802		73.880		2
106.200		266.982		1		0.487		0		0.174		2.298		1.390		1.802		73.880		2
147.825		280.776		1		0.114		0		0.084		0.863		1.390		1.802		73.880		2
149.537		278.024		1		0.122		0		0.094		0.800		1.390		1.802		73.880		2
111.100		291.528		2		1.447		3		0.225		5.940		1.390		1.736		70.102		2
109.874		288.644		4		4.027		3		0.958		3.702		1.390		1.936		97.088		2
112.428		288.513		3		1.608		3		0.431		3.228		1.390		1.936		97.088		2
116.551		288.570		2		0.766		0		0.236		2.746		1.390		1.936		97.088		2
160.157		272.777		1		0.016		0		0.020		0.307		1.390		1.936		97.088		2
